,SIM Time,Waiting Time,Waiting Car,Action,Reward
756,757.0,2721.0,29,24,-9
757,758.0,2748.0,29,64,-9
758,759.0,2775.0,28,32,-9
759,760.0,2802.0,29,64,-9
760,761.0,2829.0,29,24,-9
761,762.0,2857.0,29,64,-9
762,763.0,2885.0,30,8,-9
763,764.0,2914.0,30,52,-9
764,765.0,2943.0,30,52,-9
765,766.0,2972.0,30,32,-9
766,767.0,3001.0,31,16,-9
767,768.0,3030.0,30,32,-9
768,769.0,3059.0,30,16,-9
769,770.0,3088.0,30,48,-9
770,771.0,3117.0,30,8,-9
771,772.0,3146.0,29,64,-9
772,773.0,3175.0,29,52,-9
773,774.0,3204.0,29,32,-9
774,775.0,3219.0,29,52,-9
775,776.0,3234.0,29,8,-9
776,777.0,3261.0,29,64,-9
777,778.0,3288.0,28,24,-9
778,779.0,3315.0,28,52,-9
779,780.0,3342.0,28,24,-9
780,781.0,3369.0,28,24,-9
781,782.0,3396.0,28,32,-9
782,783.0,3423.0,28,32,-9
783,784.0,3450.0,28,64,-9
784,785.0,3477.0,28,48,-9
785,786.0,3504.0,28,64,-9
786,787.0,3531.0,29,16,-9
787,788.0,3558.0,29,32,-9
788,789.0,3585.0,29,52,-9
789,790.0,3613.0,29,64,-9
790,791.0,3641.0,29,64,-9
791,792.0,3670.0,29,24,-9
792,793.0,3699.0,29,8,-9
793,794.0,3728.0,29,52,-9
794,795.0,3757.0,30,16,-9
795,796.0,3786.0,30,24,-9
796,797.0,3815.0,31,48,-9
797,798.0,3844.0,31,16,-9
798,799.0,3873.0,31,32,-9
799,800.0,3902.0,31,24,-9
800,801.0,3931.0,29,8,-9
801,802.0,3960.0,29,64,-9
802,803.0,3975.0,29,48,-9
803,804.0,3990.0,29,8,-9
804,805.0,4017.0,28,24,-9
805,806.0,4044.0,28,32,-9
806,807.0,4071.0,28,48,-9
807,808.0,4098.0,28,24,-9
808,809.0,4125.0,28,8,-9
809,810.0,4152.0,28,48,-9
810,811.0,4179.0,29,24,-9
811,812.0,4206.0,28,16,-9
812,813.0,4233.0,28,8,-9
813,814.0,4260.0,28,52,-9
814,815.0,4287.0,28,52,-9
815,816.0,4314.0,29,32,-9
816,817.0,4342.0,29,16,-9
817,818.0,4242.0,29,16,-9
818,819.0,4141.0,29,52,-9
819,820.0,4168.0,29,32,-9
