,SIM Time,Waiting Time,Waiting Car,Action,Reward
389,390.0,"(89.0, 18)",18,64,10
390,391.0,"(98.0, 18)",18,32,10
391,392.0,"(108.0, 17)",17,16,10
392,393.0,"(119.0, 19)",19,16,10
393,394.0,"(132.0, 20)",20,16,10
394,395.0,"(145.0, 20)",20,16,10
395,396.0,"(159.0, 20)",20,24,10
396,397.0,"(174.0, 20)",20,8,10
397,398.0,"(191.0, 20)",20,8,10
398,399.0,"(208.0, 21)",21,64,5
399,400.0,"(226.0, 20)",20,52,5
400,401.0,"(244.0, 20)",20,52,5
401,402.0,"(262.0, 21)",21,32,5
402,403.0,"(280.0, 21)",21,48,5
403,404.0,"(299.0, 20)",20,48,5
404,405.0,"(318.0, 22)",22,32,5
405,406.0,"(337.0, 22)",22,24,5
406,407.0,"(357.0, 22)",22,16,5
407,408.0,"(377.0, 22)",22,32,5
408,409.0,"(398.0, 22)",22,32,5
409,410.0,"(419.0, 22)",22,64,5
410,411.0,"(387.0, 21)",21,64,5
411,412.0,"(354.0, 21)",21,64,5
412,413.0,"(373.0, 20)",20,24,5
413,414.0,"(392.0, 20)",20,48,5
414,415.0,"(411.0, 20)",20,8,5
415,416.0,"(430.0, 20)",20,64,5
416,417.0,"(449.0, 20)",20,48,5
417,418.0,"(468.0, 20)",20,52,5
418,419.0,"(487.0, 20)",20,32,5
419,420.0,"(506.0, 20)",20,8,-1
420,421.0,"(485.0, 20)",20,32,5
421,422.0,"(466.0, 19)",19,24,5
422,423.0,"(450.0, 19)",19,8,5
423,424.0,"(434.0, 19)",19,52,5
424,425.0,"(419.0, 19)",19,24,5
425,426.0,"(404.0, 19)",19,48,5
426,427.0,"(418.0, 19)",19,24,5
427,428.0,"(403.0, 21)",21,64,5
428,429.0,"(391.0, 21)",21,16,5
429,430.0,"(381.0, 22)",22,8,5
430,431.0,"(371.0, 22)",22,64,5
431,432.0,"(383.0, 22)",22,16,5
432,433.0,"(397.0, 22)",22,16,5
433,434.0,"(411.0, 23)",23,24,5
434,435.0,"(425.0, 22)",22,16,5
435,436.0,"(401.0, 21)",21,8,5
436,437.0,"(415.0, 20)",20,16,5
437,438.0,"(430.0, 21)",21,32,5
438,439.0,"(446.0, 22)",22,52,5
439,440.0,"(462.0, 22)",22,64,5
440,441.0,"(479.0, 22)",22,32,5
441,442.0,"(497.0, 23)",23,24,5
442,443.0,"(516.0, 22)",22,64,-1
443,444.0,"(535.0, 22)",22,8,-1
444,445.0,"(554.0, 21)",21,8,-1
445,446.0,"(573.0, 22)",22,64,-1
446,447.0,"(592.0, 22)",22,48,-1
447,448.0,"(611.0, 22)",22,24,-1
448,449.0,"(630.0, 22)",22,52,-1
449,450.0,"(649.0, 22)",22,24,-1
450,451.0,"(668.0, 21)",21,32,-1
451,452.0,"(687.0, 22)",22,16,-1
452,453.0,"(706.0, 23)",23,16,-1
453,454.0,"(725.0, 23)",23,48,-1
454,455.0,"(744.0, 22)",22,32,-1
455,456.0,"(763.0, 22)",22,24,-1
456,457.0,"(782.0, 23)",23,52,-1
457,458.0,"(801.0, 23)",23,52,-1
458,459.0,"(820.0, 23)",23,32,-1
459,460.0,"(840.0, 24)",24,64,-1
460,461.0,"(861.0, 24)",24,32,-1
461,462.0,"(882.0, 25)",25,8,-1
462,463.0,"(903.0, 25)",25,24,-1
463,464.0,"(925.0, 24)",24,24,-1
464,465.0,"(947.0, 24)",24,24,-1
465,466.0,"(969.0, 24)",24,24,-1
466,467.0,"(991.0, 24)",24,16,-1
467,468.0,"(996.0, 25)",25,16,-1
468,469.0,"(1010.0, 24)",24,48,-1
469,470.0,"(1030.0, 25)",25,32,-1
470,471.0,"(1050.0, 25)",25,32,-1
471,472.0,"(1071.0, 25)",25,8,-1
472,473.0,"(1092.0, 25)",25,52,-1
473,474.0,"(1113.0, 25)",25,8,-1
474,475.0,"(1134.0, 26)",26,52,-1
475,476.0,"(1155.0, 25)",25,24,-1
476,477.0,"(1176.0, 25)",25,52,-1
477,478.0,"(1197.0, 26)",26,24,-1
478,479.0,"(1218.0, 27)",27,32,-1
479,480.0,"(1239.0, 27)",27,32,-1
480,481.0,"(1260.0, 28)",28,64,-1
481,482.0,"(1282.0, 28)",28,48,-1
482,483.0,"(1304.0, 27)",27,32,-1
483,484.0,"(1326.0, 28)",28,16,-1
484,485.0,"(1348.0, 28)",28,24,-1
485,486.0,"(1370.0, 27)",27,16,-1
486,487.0,"(1392.0, 26)",26,52,-1
487,488.0,"(1414.0, 26)",26,52,-1
488,489.0,"(1436.0, 26)",26,32,-1
489,490.0,"(1458.0, 27)",27,32,-1
490,491.0,"(1480.0, 27)",27,64,-1
491,492.0,"(1502.0, 27)",27,24,-1
492,493.0,"(1524.0, 28)",28,32,-1
493,494.0,"(1546.0, 28)",28,64,-1
494,495.0,"(1568.0, 29)",29,64,-1
495,496.0,"(1590.0, 28)",28,24,-1
496,497.0,"(1612.0, 28)",28,32,-1
497,498.0,"(1634.0, 29)",29,48,-1
498,499.0,"(1656.0, 28)",28,32,-1
499,500.0,"(1678.0, 29)",29,48,-1
500,501.0,"(1700.0, 27)",27,32,-1
501,502.0,"(1722.0, 27)",27,16,-1
502,503.0,"(1744.0, 27)",27,64,-1
503,504.0,"(1766.0, 26)",26,64,-1
504,505.0,"(1788.0, 26)",26,8,-1
505,506.0,"(1810.0, 25)",25,16,-1
506,507.0,"(1832.0, 25)",25,52,-1
507,508.0,"(1854.0, 26)",26,8,-1
508,509.0,"(1876.0, 25)",25,24,-1
509,510.0,"(1898.0, 25)",25,64,-1
510,511.0,"(1920.0, 25)",25,24,-1
511,512.0,"(1942.0, 25)",25,32,-1
512,513.0,"(1964.0, 25)",25,64,-1
513,514.0,"(1986.0, 24)",24,16,-1
514,515.0,"(2008.0, 24)",24,64,-1
515,516.0,"(2030.0, 23)",23,8,-1
516,517.0,"(2052.0, 23)",23,52,-1
517,518.0,"(2074.0, 22)",22,52,-1
518,519.0,"(2096.0, 22)",22,48,-1
519,520.0,"(2118.0, 22)",22,64,-1
520,521.0,"(2140.0, 23)",23,52,-1
521,522.0,"(2162.0, 24)",24,52,-1
522,523.0,"(2184.0, 24)",24,16,-1
523,524.0,"(2206.0, 24)",24,48,-1
524,525.0,"(2228.0, 24)",24,32,-1
525,526.0,"(2250.0, 23)",23,52,-1
526,527.0,"(2214.0, 23)",23,16,-1
527,528.0,"(2178.0, 23)",23,48,-1
528,529.0,"(2198.0, 21)",21,16,-1
529,530.0,"(2218.0, 21)",21,24,-1
530,531.0,"(2238.0, 21)",21,64,-1
531,532.0,"(2258.0, 21)",21,24,-1
532,533.0,"(2278.0, 21)",21,64,-1
533,534.0,"(2298.0, 21)",21,16,-1
534,535.0,"(2318.0, 21)",21,52,-1
535,536.0,"(2338.0, 21)",21,24,-1
536,537.0,"(2358.0, 21)",21,8,-1
537,538.0,"(2378.0, 21)",21,16,-1
538,539.0,"(2398.0, 21)",21,52,-1
539,540.0,"(2418.0, 21)",21,8,-1
540,541.0,"(2438.0, 21)",21,24,-1
541,542.0,"(2458.0, 22)",22,48,-1
542,543.0,"(2478.0, 21)",21,24,-1
543,544.0,"(2498.0, 21)",21,48,-1
544,545.0,"(2518.0, 21)",21,32,-1
545,546.0,"(2538.0, 21)",21,48,-1
546,547.0,"(2558.0, 21)",21,24,-1
547,548.0,"(2578.0, 21)",21,64,-1
548,549.0,"(2598.0, 22)",22,52,-1
549,550.0,"(2618.0, 21)",21,16,-1
550,551.0,"(2638.0, 22)",22,24,-1
551,552.0,"(2658.0, 22)",22,64,-1
552,553.0,"(2678.0, 23)",23,16,-1
553,554.0,"(2698.0, 22)",22,8,-1
554,555.0,"(2718.0, 24)",24,52,-1
555,556.0,"(2738.0, 24)",24,52,-1
556,557.0,"(2758.0, 22)",22,32,-1
557,558.0,"(2778.0, 22)",22,24,-1
558,559.0,"(2798.0, 23)",23,48,-1
559,560.0,"(2818.0, 22)",22,32,-1
560,561.0,"(2838.0, 24)",24,32,-1
561,562.0,"(2858.0, 23)",23,52,-1
562,563.0,"(2878.0, 24)",24,24,-1
563,564.0,"(2898.0, 24)",24,24,-1
564,565.0,"(2918.0, 24)",24,16,-1
565,566.0,"(2938.0, 24)",24,52,-1
566,567.0,"(2958.0, 23)",23,24,-1
567,568.0,"(2978.0, 25)",25,64,-1
568,569.0,"(2998.0, 23)",23,48,-1
569,570.0,"(3018.0, 23)",23,8,-1
570,571.0,"(3038.0, 24)",24,8,-1
571,572.0,"(3058.0, 23)",23,32,-1
572,573.0,"(3078.0, 24)",24,64,-1
573,574.0,"(3099.0, 23)",23,8,-1
574,575.0,"(3120.0, 23)",23,8,-1
575,576.0,"(3141.0, 25)",25,24,-1
576,577.0,"(3162.0, 24)",24,32,-1
577,578.0,"(3183.0, 26)",26,16,-1
578,579.0,"(3205.0, 26)",26,16,-1
579,580.0,"(3227.0, 26)",26,64,-1
580,581.0,"(3249.0, 25)",25,16,-1
581,582.0,"(3271.0, 26)",26,48,-1
582,583.0,"(3294.0, 26)",26,24,-1
583,584.0,"(3317.0, 28)",28,32,-1
584,585.0,"(3341.0, 28)",28,24,-1
585,586.0,"(3353.0, 28)",28,48,-1
586,587.0,"(3377.0, 29)",29,32,-1
587,588.0,"(3392.0, 29)",29,24,-1
588,589.0,"(3410.0, 28)",28,16,-1
589,590.0,"(3428.0, 28)",28,32,-1
590,591.0,"(3448.0, 28)",28,48,-1
591,592.0,"(3470.0, 27)",27,16,-1
592,593.0,"(3492.0, 28)",28,52,-1
593,594.0,"(3514.0, 28)",28,24,-1
594,595.0,"(3536.0, 28)",28,32,-1
595,596.0,"(3558.0, 29)",29,52,-1
596,597.0,"(3580.0, 28)",28,64,-1
597,598.0,"(3602.0, 27)",27,52,-1
598,599.0,"(3624.0, 28)",28,64,-1
599,600.0,"(3646.0, 27)",27,32,-1
600,601.0,"(3668.0, 27)",27,8,-1
601,602.0,"(3690.0, 27)",27,52,-1
602,603.0,"(3712.0, 27)",27,64,-1
603,604.0,"(3734.0, 28)",28,8,-1
604,605.0,"(3757.0, 28)",28,52,-1
605,606.0,"(3780.0, 29)",29,64,-1
606,607.0,"(3803.0, 29)",29,64,-1
607,608.0,"(3828.0, 29)",29,24,-1
608,609.0,"(3853.0, 29)",29,24,-1
609,610.0,"(3879.0, 29)",29,48,-1
610,611.0,"(3905.0, 29)",29,16,-1
611,612.0,"(3932.0, 29)",29,8,-1
612,613.0,"(3960.0, 29)",29,16,-1
613,614.0,"(3988.0, 29)",29,52,-1
614,615.0,"(4017.0, 29)",29,32,-1
615,616.0,"(4046.0, 29)",29,52,-1
616,617.0,"(4075.0, 29)",29,32,-1
617,618.0,"(4104.0, 29)",29,16,-1
